french,nature,eton
gloutonnerie,v.,hə́b
gloutonnerie,v.,ŋgə́b
gluant (être_),v.,kə̀ŋbə̀
gémir,v.,méénì
gémir,v.,símnì
gémissement,n.,ǹ-tàd
gémissement,n.,ɲ̀-ɲón
Gnetum africanum,n.,ù-kɔ̀g
génitales (parties ),n.,zùd
génération,n.,ŋgòòŋò í bôd
généreux,n.,à-kàb
générosité,n.,à-kàb
générosité,n.,mbàm
goal,n.,ì-kɛ̀n
gober,v.,mìn
goliath,n.,d-ǎz
goliath,n.,ɛ̀-bə̀m
gombo,n.,ì-nə̀m ɛ́vùl
gombo,n.,ì-tə́tám
gombo,n.,pɛ̌z
gonflé,n adj.,bì-vùg
gonflé (être_),v.,ndàmdà
gonfler,v.,vúz
gorge,n.,cíŋ
gorille,n.,ɲjì
égoïste,n adj.,kpàg
goûter,v.,kə̀gì
goûter,v.,pìzì
goûter (le fait de faire ),n.,ì-pìzà
goûter (sp),v.,də̀mlə̀
goûter (sp),v.,pìzì
goître,n.,ì-vǒg
goulûment,adv.,mɔ̀ŋbán
goulûment,n adj.,ǹ-twàbdɔ̀
goulot (au ),adv.,mɔ̀ŋbán
gourdin,n.,kə́g
gourmand,n adj.,kpàg
gourmand (sp),n adj.,kòkòd
gourmand (être_),v.,ndɔ̀gbɔ̀
gourmandise,n.,kpàg
gourmandise,n.,ndɔ̀g
gourmandise,n adj.,pwǎ
gourmet,n adj.,ù-lwàd
gousse,n.,ì-kòglò
gousse,n.,ŋgə̀ŋ
gousse (sp),n.,ŋgə̀ŋ mɔ́gɔ̂
goutte,n.,ɛ̀-tɔ́
goutte d’eau,n.,ɛ̀-ndím
goyave,n.,ì-bòmó
grade,n.,ì-kúg
grade,n.,ŋ̀-kóŋ
grain,n.,d-ǐz
graine,n.,mbɔ́
graine,n adj.,ɲ̀-cɔ́
graine immature,n adj.,m̀-mád
graines de sable,n.,cà
graisse,n.,ɛ̀-vɔ́ŋ
grand,n adj.,ì-bə̀bə́g
grand,n adj.,kòŋgógô
grand,n adj.,ɲ̀-ɲóm
grand (sp),n adj.,ɲ̀-cə̀mlə̀
grand (être_),v.,nɛ́n
grand (tubercule),n adj.,pɔ̀ɔ́m
grandeur,n.,ŋ̀-kóŋ
grandir,v.,náŋ
grandir (sp),v.,pàg
grand-parent,n.,mbámá
grapefruit,n.,òpúm bìkàblí
grappe,n.,ì-záŋdá
grappe,n.,ɲ̀-cág
égratignure,n.,ɲ̀-cɛ́l
gratter le sol (poules),v.,wàz
gratter (se ),v.,yàgì
graver,v.,kpɛ̀d
gravir,v.,bɛ́d
grâce,n.,mbɔ̌m
grelotter,v.,ɲàmnì
grelotter (fait de ),n.,ɲàmɲàmà
grenier,n.,ɛ̀-ŋgùnà
grenier; panier (sp),n.,ì-táŋ
grenier (sp),n.,ŋmg͡bɛ́lmí
grenouille,n.,ŋ̀-kɔ́ŋɔ́
grenouille (sp),n.,d-ǎz
grenouille (sp),n.,ɛ̀-bə̀m
griffer,v.,wòdì
griller,v.,bùm
griller,v.,yáŋ
grimper,v.,bɛ́d
grimper,v.,kà
grêle,n.,ɛ̀-tâg
grêlon,n.,ɛ̀-tâg
grognon (être_),v.,búnbâ
grommeler,v.,dɔ̀gdàn
gronder,v.,bám
gronderie,n.,mbám
gros,n adj.,ì-ndód
gros,n adj.,ɲ̀-cág
gros (sp),n adj.,kə̀bkə̀bə̀
gros (sp),n adj.,kúdâ
gros (sp),n adj.,ŋ̀-kə́g
gros (sp),n adj.,ŋm̀-kpá
grossesse,n.,ɲ̀-cìlà
grosseur,n.,ɛ̀-nɛ́ní
grossir,v.,pàg
grossir,v.,vúz
grossièretés,n.,lǒm
grouiller,v.,ɲùmnì
groupe,n.,ì-sámá
groupe,n.,ŋ̀-kùnà
gâteau,n.,ŋ̀-kóngí
gâteau de termites,n.,m̀-mə́g
gâteau (sp),n.,kpímdá
gâter,v.,ndámnà
gâter (se ),v.,ndámnì
guetter,v.,də́ŋbə̂
guetter,v.,mwán
gueule,n.,à-nùŋ
gueule,n.,m̀-móm
guib d’eau,n.,ì-mbùl
guib harnaché,n.,ŋ̀-kɔ́g
guib (sp),n.,són
Guibourtia tessmannii,n.,ì-siŋgàn
Guibourtia tessmannii,n.,ù-və̀ŋ
Guinée (poivre de ),n.,ndóŋ
guépard,n.,zěy
guêpe (sp),n.,cìcìlá
guêpe (sp),n.,ɛ̀-pǒm
guêpe (sp),n.,ì-bòm kwàdgɔ̀
guéri (être_),v.,lɛ̀d
guérir,v.,já
guérir,v.,lɛ̀d
guérir,v.,lɛ̀dà
guérir (sp),v.,bàbì
guérison (sp),n.,mbàbì
égyptien,n.,ìgíptɛ̀n
habanero (piment ),n.,ì-lòbò
habilé (bien ),n adj.,m̀-bwádní
habile,n adj.,à-kə́ŋ
habillement,n.,m̀-mwád
habiller,v.,dálâ
habiller (s’_ ),v.,bwád
habiller (s’_ de),v.,dál
habit,n.,ì-jə́
habiter,v rés.,bógô
habitude,n.,púúlá
habitude (avoir l’ de),q aux.,pə̀m
habitude (faire d’ ),q aux.,dìŋ
habitudes,n.,tùm
habituer (s’_ à),v.,jə̀mzàn èè
habituer (s’_ à),v.,yə́mlə̂
habituer (s’_ à faire quelque chose),v.,jə́mlâ
hache,n.,ù-vón
hachette,n.,ì-ndɔ́ŋ
haine,n.,ì-pə̀mə̀
haine,n.,zíŋ
haineux,n.,ǹ-zínzíŋ
haleine (sp),n.,ɛ̀-kàg
haleter,v.,dàgbà
halite,n.,ŋ̀-kǔ íꜜkáblí
Hallea stipulosa,n.,ì-lə̀lɔ̀m
halètement,n.,mə̀-dàgbà
hamac,n.,hámgì
hameau,n.,à-bàŋ
hameçon,n.,ɛ̀-sɔ̌ŋ ɛ́ ꜜɲɲɔ́b
hameçon,n.,ɲ̀-ɲɔ́b
hampe,n.,ŋ̀-kɛ̀n
hanche,n.,ì-bɔ̀g
hangar,n.,ì-sà
hanneton,n.,kàŋgázâ
haïr,v.,síŋ
harceler,v.,gə́ŋzə̂
harcèlement,n.,mə̀-bádná
hareng,n.,ì-pàgà
haricot,n.,kón
haut,idéo.,píꜜlɔ́ŋ
haut (sp),n adj.,ù-ŋgɔ̀ŋ
haut (être_),v.,jàb
hauteur,n.,ǹ-tə́
herbe,n.,ì-lɔ́g
herbe,n.,ì-lwág
herbe,n.,mə̀-sə̀b
herbe à aiguilles,n.,və̀vàzá
herbe aux sorciers,n.,ìlwág
herbe (sp),n.,àpàd ìkòdgò
herbe (sp),n.,ì-yámî
herbe (sp),n.,ɲ́câmà
herbe (sp),n.,sáz
herbe (sp),n.,ù-sím
hernie,n.,ù-jóŋ
hernie ombilical,n.,ŋgòn
hernie (sp),n.,ì-ndàg
Herpestes ichneumon,n.,mbǎg
Herpestes naso,n.,mbǎg
Herpestes sanguineus,n.,mbǎg
heure,n.,ɛ̀-bǒg
heure,n.,ɛ̀-wòlò
heureux,n adj.,mì-ntàg
heurter,v.,jìm
heurter,v.,kòbì
heurter (sp),v.,wúbnà
Hevea brasiliensis,n.,ndàmà
hibiscus,n.,ì-sǎŋ
hibou,n.,ɛ̀-kùŋ
hier,n.,ŋgògí
hippopotame,n.,ŋgǔb
Hippopotamus amphibius,n.,ŋgǔb
hirondelle,n.,ndɛ̀l
hirondelle (sp),n.,óbá ndɛ́lî
histoire,n.,ndɔ́ŋ
histoire,n.,ǹ-náŋ
histoire drôle,n.,ì-làŋ
hochet,n.,ì-ŋgàlì
hocheur,n.,mbínâ
homélie,n.,ì-kàd màm
homme,n.,pâm
homonyme,n.,ì-yòlò
homonyme,n.,mbómó
honorer,v.,sə́gî
honte,n.,ù-swán
honte (couvrir quelqu’un de ),v.,sámlâ
hoqueter,v.,sə́gbə̂
horizontalement,adv.,kɛ́ꜜŋgáná
hotte,n.,ŋ̀-kɔ́
houe,n.,ì-kwàb
hôpital,n.,dɔ́bdɔ̂
hérisson,n.,mbə́b
héritage,n.,ì-líg
hésitant,n adj.,sìgsìg
hésitation,n.,ɲ̀-cə́ŋní
hésiter,v.,sìg
"hésiter, retarder à",v.,ndə̀mdə̀
hôte,n.,ɲ̀-ɲə́ŋ
hâte (avec ),n adj.,mbògmbòg
huer,v.,ɲùmnì èè
huer,v.,sòg èè
huile,n.,m̀-mwán
huissier,n.,lɔ́yâ
huit,num.,ŋmàm
humble,n adj.,kúl
humilier,v.,sámlâ
humour,n adj.,ì-lɔ̀bí
hutte,n.,ì-bə̌m
hévéa,n.,ndàmà
Hyemoschus aquaticus,n.,vyɔ́ŋ
Hylochoerus meinertzhageni,n.,ì-ŋgág
hylochère,n.,ì-ŋgág
hypocrisie,n.,ù-lə̀b
ici,adv.,mű
ici,adv.,va̋
identité (carte d’ ),n.,ì-dàŋdìtê
igname,n.,ì-ɲúm
igname,n.,j-ǒ
igname (sp),n.,ɛ̀-lɔ́g
igname (sp),n.,ɛ̀-sɔ́l
igname (sp),n.,ǹ-núm
igname (sp),n.,síŋlî
ignorance,n.,ù-dímí
ignorer,v.,dímâ
ignorer,v.,dímî
ignorer,v.,yə́gnə̂
œil,n.,d-ǐz
œil-de perdrix,n.,ì-bágî
œil-de perdrix,n.,ǹ-nàn
ilomba (?),n.,ì-tə̀ŋ
imbattable,n adj.,kòòŋ
imbécile,n adj.,zə̀zè
imitation,n.,mbàŋzàná
imiter,v.,jə́glânà
imperméable,n.,rɛ̀nkɔ́d
impertinence,n.,ù-lág
impertinence,n.,ù-váznì
impitoyable,n.,àbɛ̀n ìlàŋà
implorer pitié,v.,sə̀mzə̀ dɔ̌
important,n adj.,kòŋgógô
important,n adj.,m̀-pàŋ
important,n adj.,ɲ̀-ɲóm
importe (n’ quel),adj.,zìŋ
importuner,v.,gə́ŋzə̂
importuner,v.,jóŋlô
impudence,n.,ɛ̀-lágbâ
imputer,v.,bád
inattendu,n.,bì-dǐm
incantations (faire ),v.,kâlnà
incendier,v.,bɔ̀gì
inciser,v.,kpɛ̀d
inciter,v.,pɔ̀ŋlɔ̀
inciter à,v.,sòŋlò
incliner,v.,sɛ́nî
incrédule,n adj.,bì-sóy
indéfectible,n adj.,ù-báz
indigence,n.,mə̀-pyàd
indigence,n.,mə̀-zɔ́y
indigestion (sp),n.,sǔn
indiscrétion,n.,ù-váznì
indolent,idéo.,lə̀mzə̀ lə̀mzə̀
indolent,n adj.,ù-bùbwàd
inexorable,n.,àbɛ̀n ìlàŋà
inexorable,n.,ì-lón
infirmier,n.,dɔ́bdɔ̂
infirmière,n.,dɔ́bdɔ̂
infirmité,n.,ì-jə́m
inflammation (sp),n.,ŋ̀-ŋɔ́
inflorescence,n.,sǎm
inflorescence (maïs),n.,ɛ̀-bám
information,n.,pɔ́
informer,v.,bɛ́nî
informer,v.,cɛ̀dì
infortune,n.,bàdlɔ́g
ingérer (s’_ ),v.,g͡bàŋbàn
inguinale (hernie ),n.,ì-ndàg
inhalation,n.,ɲ̀-cwànbàn
inhalation,n.,ù-swàn
inhaler (faire ),v.,swàn
initié,n.,mbón
initié,n.,ɲ̀-ɲə̀mə̀
initiation,n.,mbón
initier,v.,kə́ŋlə̂
injection,n.,ùndùndɔ̀
injure,n.,ɛ̀-sə̌
injurier,v.,sə̀
inqualifiable,n.,d-àm
inscrire,v.,tìl
inscrire (s’_ ),v.,tìlbàn
insecte (sp),n.,mbàgà sísyá
insecte (sp),n.,óbónítô
insensible,adv.,kólwónó
insincérité,n.,kɔ́ŋlán
insistance,n.,ì-vág
insolence,n.,ɛ̀-lágbâ
insolence,n.,ù-lág
insolence (manifester ),v.,lágbâ
insolent (être_),v.,yág
insomnie,n.,ì-və̌
insomnie,n.,tàná
insomnie (avoir ),v.,və̀ə̀bə̀
inséparable,n adj.,ù-báz
installer (s’_ ) (sp),v.,lùmbà
instant,n.,kwám
instrument,n.,ì-kɔ̀
instrument (sp),n.,ì-làn
insuccès,n.,m̀-mə̀g
insuffisant (être_),v.,swád
insulte,n.,ɛ̀-sə̌
insulter,v.,sə̀
insulter (s’_ ),v.,sə̀ə̀nì
intelligence,n.,pə̀g
intelligent,n adj.,à-kə́ŋ
intelligent,n adj.,m̀-pə̀mpə́g
intelligent (être_),v.,kə́ŋbə̂
intense (chaleur),idéo.,bə̀g
intention,n.,ɲ̀-cògní
intentionnel (acte ),n.,ù-váŋ
interdiction,n.,ì-cì
interdire,v.,cìlà
interdire (s’_ ),v.,cì
interdit (briser ),v.,sə́m
interdit (rester ),v.,pòdbò
interdit (sp),n.,bíná
interloqué (rester ),v.,pòdbò
interminable,n adj.,kɔ̀mkɔ̀m
internat,n.,ì-pwàgɔ́
interpréter,v.,pɛ̀zlànà
interstice,n.,pìgzán
intervenir (sp),v.,hámzân
intestin,n.,ɲ̀-ɲà
intestin (escargot),n.,ǹ-náŋ
intègre,n adj.,à-tí
intimider,v.,sìzà
intrigant,n.,kúb bílígâ
introduire,v.,láb
intérêt,n.,m̀-pí
intrus,n.,kɔ̌
intrus,n.,kùkùnìŋgálî
intuition,n.,ɲ̀-cwàn
inutilité,n.,pídí pɔ̂
invective (sp),n.,ì-kàg
inventer,v.,tə́
inviter,v.,báŋdâ
invoquer (sp),v.,sə́gî
Ipomoea batatas,n.,ɛ̀-bùdà
iris (œil),n.,ù-ɲǎŋ ꜜdíz
iroko,n.,à-bàŋ
iroko (sp),n.,ù-sə́ ábâŋ
ironie,n.,ɲ̀-ɲɔ́ŋ
irrespect,n.,ù-lág
irriter (s’_ ),v.,búlgân
irrévérence,n.,ŋm̀-kpálá
Irvingia gabonensis,n.,à-ndɔ́gɔ̂ bə́tí
Irvingia gabonensis,n.,àzàŋà
irvingiacée (sp),n.,àzàŋà
isolé,n adj.,ì-tə́ŋ
Italie,n.,ìtályɛ̀n
italiens,n.,ìtályɛ̀n
iule,n.,ŋgɔ̌y
ivoire,n.,m̀-mǎŋ
jachère,n.,ì-kòdgì
jambe,n.,à-kǒl
jardin,n.,ŋgádnà
jaune,n.,ì-súg
jeter,v.,g͡bà
jeter,v.,lúm
jeter,v.,vùz
jeter (sp),v.,cáŋdâ
jeter (sp),v.,kúdî
jeter (sp),v.,pímlâ
jeter (sp),v.,sə́mî
jeter (sp),v.,vúmlâ
jeu,n.,ì-vǒy
jeu (sp),n.,à-byà
jeu (sp),n.,bì-làlì
jeu (sp),n.,kpáŋ
jeu (sp),n.,ŋgə̀gə́
jeu (sp),n.,sɔ̀ŋɔ́
jeudi,n.,lá
jeune (animaux),n adj.,ndɔ̀ŋ
jeune personne,n.,ì-náŋgà
jeune (sp),n adj.,ì-tɔ̀ŋgɔ̀
jeune (sp),n adj.,mbɔ̀g
jeune (sp),n adj.,ŋgáŋ
joie,n adj.,mì-ntàg
joindre,v.,làd
jointure,n.,mə̀-làd
jonc,n.,kwǎl
jonction,n.,ì-làdgà
jongler (sp),v.,báz
joue,n.,ɛ̀-máŋ
jouer,v.,càb
jouer,v.,dɔ̀
jouer,v.,lə́
jouer,v.,vò
jouer (instrument musical),v.,bòm
joug,n.,m̀-mòg
jouir,v.,càb
jour,n.,à-lú
jour,n.,à-mǒz
journal,n.,ǹ-nə́b
joyeusetés,n.,ì-zàmì
joyeusété,n.,ì-làŋ
joyeux,n adj.,mì-ntàg
jugement,n.,jwáz
juger,v.,jwáz
jumeaux,n.,mì-vyáz
junior,n.,m-ɔ̀ŋɔ́
junior,n adj.,ǹ-tɔ́gɔ̂
jupe (sp),n.,ì-sə̀gzə̀
jupe (sp),n.,ù-bòm
jupon,n.,sìmá
jurer,v.,kànì sɔ̀ŋ
jurer,v.,màànà
juron (sp),int.,sɔ̀ŋ
jusque,prép.,vwàz
kaolin,n.,pə́m
kapokier,n.,ì-sɔ̀ŋ dúmá
kilo,n.,kílâ
kilomètre,n.,kílmɛ́də́
Klainedoxa gabonensis,n.,ŋgòn
K.-O.,adv.,cágdá
Kobus defassa,n.,mbɔ̌y
kola,n.,ɛ̀-bɛ̌l
kola (sp),n.,gòdò
kola (sp),n.,ɲɛ̀l
kola (tranche),n.,ŋm̀-ŋmà
là,adv.,mű
labourer,v.,ɲùgì
labourer,v.,sùm
laid,n adj.,à-bé
laid (être_),v.,bə́b
laid (très ),n adj.,ɲěy
laisser,v.,jògì
laisser,v.,líg
laisser,v.,ŋmàz
lait,n.,mə̀-ɲáŋ
lait,n.,m-ílíg
lait maternel,n.,mə̀-bé
lambeaux (en ),n adj.,bì-pə̀pə̀g
lame,n.,ɛ̀-njáŋ
lame,n.,lám
lamelle (sp),n.,kpádá
lamentation,n.,ǹ-táŋá
lamentation,n.,ɲ̀-ɲón
lamenter (se ),v.,jə̀
lamenter (se ),v.,jón
lamenter (se ),v.,táŋâ
lampe,n.,ɛ̀-lámâ
lampe,n.,lámâ
élancé,n adj.,ŋ̀-kə́mə̂
lance,n.,ɛ̀-kɔ̌ŋ
lancer,v.,g͡bà
lancer,v.,lúm
lancer,v.,vùz
lancer (sp),v.,pímlâ
landa,n.,lànà
langue,n.,ŋ̀-kɔ́lɔ̂
langue,n.,ù-jə́m
lapin,n.,àlàpágá
lapsus,n.,ɲ́cɔ́bꜜdáná
large,idéo.,pòbááŋ
large,n adj.,ɛ̀-nɛ́n
large,n adj.,ì-ndàm
large,n adj.,ndàz
largeur,n.,ndàm
largeur,n adj.,ndàz
larme,n.,ì-bə́gî
larmoyer,v.,ŋgàŋlàn
larve (sp),n.,ɛ̀-kǔm
larve (sp),n.,ɛ̀-ɲɛ̀d
larve (sp),n.,pwáz
latex,n.,mə̀-kə́mdâ
latte,n.,lád
lavage,n.,ù-sò
lavement (subir ),v.,wàdnì
laver,v.,sò
laver,v.,wɔ́gɔ̂
laver (se ),v.,sòbnì
laver (se ) (sp),v.,pùbnì
layon,n.,ǹ-nán
lâche,n adj.,ɲ̀-còg
lécher,v.,ɲây
île,n.,ì-lǒn
leader,n.,àsú zɔ̀gɔ̀
lecture,n.,ǹ-láŋní
Lemniscomys striatus,n.,sálâ
lemongrass,n.,nàŋ mə́nàŋà
lemongrass,n.,ùsàŋà
lent,n adj.,à-tɔ́ŋ
lent,n adj.,ì-ndə̀ŋ
lent (sp),n adj.,à-tǔ
lent (être_),v.,ndə̀ŋ
lent (être_),v.,tɔ́ŋbɔ̂
lentement (croître ),v.,tù
lenteur,n.,ì-ndə̀ŋ
lenteur,n.,ù-tə́tə́g
lenteur d’esprit,n.,à-dìd ńnó
lessivé,adv.,cágdá
lessive,n.,ù-sò
lettre,n.,d-ǐz
lettre,n.,kálâdà
"leur, leurs",pro.,-àbní
lever,v.,bɛ́ɛ́də̂
élever,v.,nálâ
lever,v.,sám
élever,v.,tɔ̀ŋ
lever,v.,vàzà
lever (se ),v.,kódô
lever (se ),v.,lɛ́ɛ̀nì
lever (se ),v.,tə́bə̂
lever (se ),v rés.,lɛ́nə̂
lever (se ) (sp),v.,làgbàn
élever (sp),v.,nɛ́nî
léger,n adj.,ì-və̀vɛ̀z
léger (être_),v.,vɛ̀zbàn
légère (prendre à la ),v.,bùb èè
légume (sp),n.,ɛ̀-tɛ́d
légume (sp),n.,ì-nə̀m cwâlgɔ̀
légume (sp),n.,ì-nə̀m ɛ́vùl
légume (sp),n.,ì-tóndó
légume (sp),n.,ì-tùtùgà
légume (sp),n.,kùkùmà
légume (sp),n.,m̀-mwàm
légume (sp),n.,ù-kɔ̀g
liane,n.,kwǎl
liane,n.,ŋ̀-kwǎl
liane (sp),n.,à-lùm
liane (sp),n.,ǹ-níg
liane (sp),n.,ŋm̀-g͡bə́m ꜜŋkɔ́lɔ́
liane (sp),n.,ŋm̀-ŋmǎn
lianes (récolter ),v.,sɔ̀
libido,n.,ŋmg͡bɛ̀z
libre,n adj.,pìlí
libérer,v.,kòdì
libérer,v.,pámâ
lier,v.,làd
lier (se à),v.,lád
lieu,n.,pə́
lieu de travail,n.,à-sú ísá
lignage,n.,mbóg
lignée,n.,ɛ̀-jɔ̀ŋ
ligne,n.,ǹ-tɛ̌n
ligne,n.,ɲ̀-cámá
limite,n.,ɲ̀-ɲə̀
lion,n.,ì-ŋmg͡bə́m
liqueur (sp),n.,hàà
lire,v.,láŋ
lisière,n.,ŋmg͡bág
lisse,n adj.,ŋkwàn
liste,n.,líz
lit,n.,ì-nɔ̌ŋ
lit maternel,n.,j-ɔ̌g
litige,n.,ɛ̀-vɔ́
litre,n.,líd
livre,n.,kálâdà
lièvre,n.,ù-kpə̀ŋ
livrer,v.,nə̀m
élémier,n.,à-bɛ́l
locuste (sp),n.,mbàg sàná
éloge,n.,ŋ̀-kàŋní
loger,v rés.,bógô
éloges (faire ),v.,kàŋ
loi,n.,mbɛ́ní
éloignement,n.,ù-jǎb
loin,n.,ù-jǎb
lombaire,n.,ù-dúg á sí
lombric (sp),n.,ɲ̀-ɲìlìg
long,idéo.,píꜜlɔ́ŋ
long,n adj.,ǹ-tɔ́ŋ
long,n adj.,ŋ̀-kɔ́ŋlɔ́
long (le de),prép.,èè
long (période),n.,ì-bàn
long (sp),n adj.,kúdâ
long (être_),v.,jàb
long (très ),n adj.,kɔ̀mkɔ̀m
long (très ),n adj.,ǹ-tɔ́ŋlɔ́
long (tubercule),n adj.,pɔ̀ɔ́m
longitudinal,n adj.,ì-pàz
longtemps,adv.,kɔ́m
longtemps,n.,ì-bàn
longtemps,n.,kwám
longueur,n adj.,à-jǎb
Lophira alata,n.,ì-kógó
loquace,n.,ù-láŋdânà
loquace (être_),v.,kpál
loquace (être_),v.,sɔ́
loquacité,n.,à-nùŋ
loquacité,n.,ŋm̀-kpální
lot,n.,ɛ̀-bág
lotofa,n.,ŋ̀-kànə̀ŋ
louange,n.,mə̀-sə́gî
louange,n.,ù-lùgá
louche,n.,ì-kwáŋɔ́
louche,n adj.,mì-lə́ŋ
louche,n adj.,mìŋ-kə́ŋ
louer,v.,lùgà
louer,v.,sə́gî
louper,v.,cɔ́bdɔ̂
lourd,n adj.,à-dǐd
lourd (être ),v.,dìd
loutre (sp),n.,ɛ̀-bàŋà
Lovoa trichilioides,n.,ì-dú ásə̂
Loxodonta africana,n.,zɔ̀g
éléphant,n.,zɔ̀g
éléphantiasis,n.,ɛ̀-tín
éléphantiasis,n.,mə̀-tín
lèpre,n.,zǎm
lépreux,n.,ǹ-zə́ꜜzám
luciole,n.,ŋgə́ꜜŋgéy
lumière,n.,m̀-pyà
lumière du soleil,n.,vyǎn
lundi,n.,mwánî
lune,n.,ŋgwàn
lune (clair de ),n.,ŋm̀-ŋmɛ̌l
lunettes,n.,bì-yɛ́n
Lutra maculicollis,n.,ɛ̀-bàŋà
lutte,n.,ɛ̀-sìŋ
lutter,v.,dùbnì
lutter,v.,lúmnì
lutter,v.,ndə́ŋ èè
lutter,v.,pùbnì
lutter,v.,sìŋ
lutter (sp),v.,bàdnì
lèvre,n.,ì-já
lèvre (vulve),n.,à-lɔ́ ꜜmbɛ́l
lézard,n.,ɲ́cɔ̂
ma,pro.,-a̋mà
macabo,n.,ɛ̀-bàŋà
macabo (sp),n.,àpǔm ɛ̂bàŋà
macadamia,n.,ì-bùmá ntáŋní
machette,n.,pà
Maesopsis eminii,n.,ŋ̀-káŋlá
magasin,n.,ì-pàtìlá
magasin,n.,mə̀ŋgàzə́ŋ
magie,n.,byàŋ
magie,n.,ɛ̀-ŋgàŋ
magie,n.,ŋgàŋ
magistrat,n.,lɔ́yâ
magistrat,n.,sósô
maigre,adv.,líg ꜜlíg
maigre,n adj.,ŋ̀-kód
maigre (être_),v.,kód
maigrir,v.,bɔ́ŋ
maigrir,v.,dùùdàn
maigrir,v.,síbâ
main,n.,d-ɔ̌
main de bananes,n.,ɛ̀-sàŋ
maison,n.,ndá
maison (sp),n.,ɛ̀-bázá
maison (sp),n.,ì-yází í ndá
maison (sp),n.,ndá î jǎ
maison (sp),n.,ɲ̀-ɲə́bə́
mal agir,v.,bə́bə̂
mal (avoir ),v.,kwàn á
mal (avoir ),v.,wóg
mal de ventre,n.,bì-lɔ́g
mal faire,q aux.,bə́b
mal faire,v.,bə́bə̂
mal (faire ),v.,bɔ́g
mal (faire ),v.,ɲál
mal (faire ),v.,yábnì
mal (sp),n.,ù-bà
malade (personne ),n.,ŋ̀-kúꜜŋkwán
malade (être_),v.,kwàn
maladie,n.,mə̀-ŋmg͡bə́m
maladie,n.,ù-kwǎn
maladie (sp),n.,bɔ́ɔ́ló
maladie (sp),n.,ɛ̀-bóm
maladie (sp),n.,ì-bǎb
maladie (sp),n.,ìbə̀m kɔ̂
maladie (sp),n.,mbàgà
maladie (sp),n.,mbàlmə̀ɲə̀ŋə̀
maladie (sp),n.,mə̀zə̀gə̀
maladie (sp),n.,pwàl
maladie (sp),n.,ù-dàg
malaxer,v.,pùg
malaxer (sp),v.,bù
malchance,n.,àsùdà
malchance,n.,bàdlɔ́g
malédiction,n.,ì-jɔ̀g
malheur,n.,ɛ̀-màlá
malheureux,n adj.,ì-ŋgúŋgwál
malheureux (événement ),n.,tíndîŋ
maltraiter,v.,pìmlà
maltraiter,v.,pɔ́ŋzɔ̂
maman,n.,nà
mamba,n.,ŋ̀-kòd
mamba (sp),n.,ɛ̀-jáŋ
mamelon,n.,ɲ̀-cɔ̀ŋ ɛ́bé
mammifère (sp),n.,cígdî
mammifère (sp),n.,ɛ̀-sùná
mammifère (sp),n.,ɛ́wúnî
mammifère (sp),n.,ì-súm
mammifère (sp),n.,mbɔ̌y
mammifère (sp),n.,ɲ̀-cá
mammifère (sp),n.,ɲ̀-càg
mammifère (sp),n.,ɲ̀-ɲǒg
mammifère (sp),n.,pùŋ
mammifère (sp),n.,sí ì ŋmg͡bímâ
mammifère (sp),n.,sósô
mammifère (sp),n.,ù-jàm
mammifère (sp),n.,ù-ŋgɛ̌z
mammifère (sp),n.,ù-sǒg
mammifère (sp),n.,vyɔ́ŋ
mammifère (sp),n.,zòl
manche,n.,ŋ̀-kɛ́l
manche (sp),n.,ŋ̀-kɛ̀n
mandibule,n.,ŋm̀-kpə́m
manger,v.,dí
manger (fruit),v.,víb
manger (sp),v.,hə́b
manger (sp),v.,ŋgə́b
manger (sp),v.,sɛ́lî
Mangifera gabonensis,n.,àzàŋà
mangouste (sp),n.,mbǎg
mangouste (sp),n.,ù-bǔd
mangue,n.,ndɔ́gɔ̂
manguier,n.,à-ndɔ́gɔ̂
manguier sauvage,n.,bə́tí
manguier sauvage,n.,àzàŋà
manifestation (sp),n.,ì-zə̀zàŋ
maniguette,n.,ndóŋ
Manihot esculenta,n.,m̀-mùŋ
manioc,n.,m̀-mùŋ
manioc (bâton),n.,ndə̀ŋ
manioc (feuilles de ),n.,kpə̀m
manière,n.,ɛ̀-kɔ̀m
Manis gigantea,n.,zɔ̀g ì káy
Manis tetradactyla,n.,káy
Manis tricuspis,n.,káy
manquer,v.,cɔ́g
manquer,v.,jə́ŋbân
manquer de peu,v.,pàmzà
manquer de respect,v.,bàznà
mante religieuse,n.,kèlíŋgɔ̂
manœuvre,n.,cúgzɛ̂d
maquillage (sp),n.,bázâ
marc,n.,ŋ̀-ŋám
marécage,n.,ì-lɔ̀bí
marécage,n.,mə̀-lǐb
marché,n.,mákíd
marché,n.,wàtɛ́lî
marché (sp),n.,àŋgàdà
marché (sp),n.,ì-bòm
marcher,v.,tə́
marcher,v.,wùlà
mardi,n.,tán
Margaritaria discoidea,n.,ì-bə́ꜜbə́ŋ
marié,n.,m̀-máání
mari,n.,ɲ̀-ɲóm
mariage,n.,ɛ̀-bá
mariage,n.,m̀-máání
marier,v.,bálâ
marier (se ),v.,bá
marigot,n.,ù-só
marmite,n.,mbə̌
marmite (sp),n.,ì-tɔ́g
marmite (sp),n.,mìŋkə́ŋə̂
marmite (sp),n.,sílbâ
marteau,n.,hámgì
marteler,v.,bòmlò
maïs,n.,mbàz
maïs (bouillie de ),n.,ì-kùdà
maïs (plat de ) (sp),n.,sà mbàz
